timestamp,env,model,instance_id,turn,reward,components,parse_ok,usd_cost,prompt_tokens,completion_tokens,latency_s,error
2026-04-24T08:03:11.373194+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,0,0,0.3463,"nmse=0.116, support=0.000, conformal=1.000",True,0.001315,905,82,3.042,
2026-04-24T08:03:14.416079+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,0,1,0.3474,"nmse=0.119, support=0.000, conformal=1.000",True,0.001736,1326,82,1.944,
2026-04-24T08:03:16.360754+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,0,2,0.3469,"nmse=0.117, support=0.000, conformal=1.000",True,0.002157,1747,82,2.09,
2026-04-24T08:03:11.487309+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,1,0,0.3807,"nmse=0.127, support=0.100, conformal=1.000",True,0.001315,905,82,2.758,
2026-04-24T08:03:14.247394+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,1,1,0.3807,"nmse=0.127, support=0.100, conformal=1.000",True,0.001736,1326,82,1.996,
2026-04-24T08:03:16.244051+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,1,2,0.3541,"nmse=0.135, support=0.100, conformal=0.900",True,0.002157,1747,82,1.508,
2026-04-24T08:03:11.487539+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,2,0,0.3875,"nmse=0.144, support=0.100, conformal=1.000",True,0.001315,905,82,2.249,
2026-04-24T08:03:13.736716+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,2,1,0.4117,"nmse=0.129, support=0.200, conformal=1.000",True,0.001736,1326,82,2.03,
2026-04-24T08:03:15.767364+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-haiku-4.5,2,2,0.3875,"nmse=0.144, support=0.100, conformal=1.000",True,0.002157,1747,82,2.073,
2026-04-24T08:03:11.487676+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,0,0,0.3483,"nmse=0.121, support=0.100, conformal=0.900",True,0.011913,906,613,15.532,
2026-04-24T08:03:27.019743+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,0,1,0.3485,"nmse=0.121, support=0.000, conformal=1.000",True,0.011139,1858,371,9.223,
2026-04-24T08:03:36.243157+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,0,2,0.3471,"nmse=0.118, support=0.000, conformal=1.000",True,0.013179,2568,365,8.764,
2026-04-24T08:03:11.487755+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,1,0,,,False,0.011343,906,575,17.896,parse:JSON parse error: Expecting property name enclosed in double quotes at position 1
2026-04-24T08:03:11.487818+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-sonnet-4.6,2,0,,,False,0.014313,906,773,20.427,parse:JSON parse error: Expecting property name enclosed in double quotes at position 1
2026-04-24T08:03:11.487878+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,0,0,0.3524,"nmse=0.131, support=0.000, conformal=1.000",True,0.00092475,867,61,1.954,
2026-04-24T08:03:13.443028+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,0,1,0.3535,"nmse=0.134, support=0.000, conformal=1.000",True,0.00121275,1251,61,1.557,
2026-04-24T08:03:15.000359+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,0,2,0.3535,"nmse=0.134, support=0.000, conformal=1.000",True,0.00150075,1635,61,1.047,
2026-04-24T08:03:11.487954+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,1,0,0.3847,"nmse=0.137, support=0.100, conformal=1.000",True,0.00092475,867,61,2.365,
2026-04-24T08:03:13.852927+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,1,1,0.3188,"nmse=0.122, support=0.000, conformal=0.900",True,0.0011865,1252,55,1.249,
2026-04-24T08:03:15.102216+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,1,2,0.3194,"nmse=0.124, support=0.000, conformal=0.900",True,0.00147075,1637,54,1.054,
2026-04-24T08:03:11.488015+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,2,0,0.3212,"nmse=0.128, support=0.000, conformal=0.900",True,0.00092475,867,61,2.106,
2026-04-24T08:03:13.594638+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,2,1,0.3212,"nmse=0.128, support=0.000, conformal=0.900",True,0.001212,1250,61,1.43,
2026-04-24T08:03:15.025588+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-mini,2,2,0.3212,"nmse=0.128, support=0.000, conformal=0.900",True,0.00149925,1633,61,0.991,
