timestamp,env,model,seed,turn,reward,components,parse_ok,usd_cost,prompt_tokens,completion_tokens,latency_s,error,meta
2026-04-24T13:06:51.210775+00:00,sparse-fourier-recovery,openai/gpt-5.4-nano,0,1,0.3794,"nmse=0.123, support=0.100, conformal=1.000",True,0.000251,905,56,1.615,,
2026-04-24T13:06:51.210841+00:00,sparse-fourier-recovery,openai/gpt-5.4-nano,1,1,0.3721,"nmse=0.105, support=0.100, conformal=1.000",True,0.00024975,905,55,1.838,,
2026-04-24T13:06:51.210689+00:00,sparse-fourier-recovery,anthropic/claude-opus-4.7,1,1,0.3309,"nmse=0.002, support=0.100, conformal=1.000",True,0.01369,1078,332,5.516,,
2026-04-24T13:06:51.120029+00:00,sparse-fourier-recovery,anthropic/claude-opus-4.7,0,1,0.3114,"nmse=0.028, support=0.100, conformal=0.900",True,0.01576,1077,415,5.846,,
2026-04-24T13:06:56.966410+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,1,1,0.3117,"nmse=0.104, support=0.000, conformal=0.900",True,0.006795,1014,69,2.022,,
2026-04-24T13:06:58.988460+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,1,2,0.3121,"nmse=0.105, support=0.000, conformal=0.900",True,0.009315,1518,69,1.327,,
2026-04-24T13:07:00.315741+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,1,3,0.3129,"nmse=0.107, support=0.000, conformal=0.900",True,0.01185,2025,69,1.64,,
2026-04-24T13:06:56.727862+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,0,1,0.3376,"nmse=0.094, support=0.000, conformal=1.000",True,0.006765,1013,68,1.989,,
2026-04-24T13:06:58.717980+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,0,2,0.3425,"nmse=0.106, support=0.000, conformal=1.000",True,0.00925,1510,68,1.836,,
2026-04-24T13:07:00.554936+00:00,sparse-fourier-recovery-multiturn,anthropic/claude-opus-4.7,0,3,0.3434,"nmse=0.109, support=0.000, conformal=1.000",True,0.01173,2006,68,1.77,,
2026-04-24T13:06:51.211730+00:00,super-resolution-div2k-x4,anthropic/claude-opus-4.7,1,1,0.8502,"psnr=0.813, ssim=0.843, conformal=0.906",True,0.0646,2465,2091,13.86,,
2026-04-24T13:06:51.211926+00:00,super-resolution-div2k-x4,openai/gpt-5.4-nano,0,1,0.4874,"psnr=0.106, ssim=0.557, conformal=0.926",True,0.00303025,2295,2057,14.78,,
2026-04-24T13:07:02.325286+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-nano,1,1,0.3722,"nmse=0.106, support=0.200, conformal=0.900",True,0.00024215,867,55,1.219,,
2026-04-24T13:07:03.544704+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-nano,1,2,0.3481,"nmse=0.120, support=0.100, conformal=0.900",True,0.00031915,1252,55,1.806,,
2026-04-24T13:07:05.350783+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-nano,1,3,0.3484,"nmse=0.121, support=0.100, conformal=0.900",True,0.00039615,1637,55,1.206,,
2026-04-24T13:06:51.212115+00:00,super-resolution-div2k-x4,openai/gpt-5.4-nano,1,1,0.7949,"psnr=0.675, ssim=0.818, conformal=0.932",True,0.00303025,2295,2057,15.466,,
2026-04-24T13:07:01.956363+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-nano,0,1,0.351,"nmse=0.128, support=0.000, conformal=1.000",True,0.00024215,867,55,1.602,,
2026-04-24T13:07:03.558988+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-nano,0,2,0.3499,"nmse=0.125, support=0.000, conformal=1.000",True,0.00031895,1251,55,1.889,,
2026-04-24T13:07:05.448220+00:00,sparse-fourier-recovery-multiturn,openai/gpt-5.4-nano,0,3,0.3498,"nmse=0.125, support=0.000, conformal=1.000",True,0.0003945,1635,54,2.096,,
2026-04-24T13:06:51.240721+00:00,lodopab-ct-simplified,openai/gpt-5.4-nano,0,1,,,False,0.00308425,2315,2097,15.298,"parse:expected 32 entries in 'image[10]', got 34",
2026-04-24T13:06:51.246404+00:00,lodopab-ct-simplified,openai/gpt-5.4-nano,1,1,0.3913,"psnr=0.000, ssim=0.522, conformal=0.782",True,0.00303425,2315,2057,15.325,,
2026-04-24T13:06:51.217802+00:00,lodopab-ct-simplified,anthropic/claude-opus-4.7,0,1,0.6225,"psnr=0.236, ssim=0.762, conformal=0.999",True,0.064815,2508,2091,17.676,,
2026-04-24T13:07:08.377871+00:00,sparse-fourier-recovery-tools,openai/gpt-5.4-nano,0,1,0.3835,"nmse=0.134, support=0.100, conformal=1.000",True,0.0003309,1192,74,1.207,,
2026-04-24T13:07:08.895381+00:00,sparse-fourier-recovery-tools,openai/gpt-5.4-nano,1,1,0.3533,"nmse=0.133, support=0.100, conformal=0.900",True,0.0003234,1192,68,1.067,,
2026-04-24T13:07:07.544978+00:00,sparse-fourier-recovery-tools,anthropic/claude-opus-4.7,0,1,,,False,0.019045,1544,453,3.344,parse:not_final_answer_and_no_tool_handler,
2026-04-24T13:07:08.126402+00:00,sparse-fourier-recovery-tools,anthropic/claude-opus-4.7,1,1,,,False,0.019725,1545,480,3.202,parse:not_final_answer_and_no_tool_handler,
2026-04-24T13:06:51.229099+00:00,lodopab-ct-simplified,anthropic/claude-opus-4.7,1,1,0.7109,"psnr=0.464, ssim=0.813, conformal=0.938",True,0.064815,2508,2091,21.525,,
2026-04-24T13:07:06.680186+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-nano,1,1,,,False,0.00307655,2314,2091,13.733,"parse:expected 32 entries in 'image[1]', got 34",
2026-04-24T13:06:51.211035+00:00,super-resolution-div2k-x4,anthropic/claude-opus-4.7,0,1,0.6153,"psnr=0.307, ssim=0.667, conformal=0.975",True,0.0646,2465,2091,29.399,,
2026-04-24T13:07:06.557993+00:00,lodopab-ct-simplified-multiturn,openai/gpt-5.4-nano,0,1,,,False,0.00296905,2314,2005,16.265,"parse:expected 32 entries in 'image[5]', got 30",
2026-04-24T13:07:05.074500+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,0,1,0.6243,"psnr=0.241, ssim=0.761, conformal=1.000",True,0.064735,2492,2091,16.061,,
2026-04-24T13:07:21.149520+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,0,2,0.6163,"psnr=0.243, ssim=0.733, conformal=0.998",True,0.08882,7309,2091,16.253,,
2026-04-24T13:07:37.419033+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,0,3,0.6204,"psnr=0.252, ssim=0.734, conformal=0.999",True,0.11271,12087,2091,16.691,,
2026-04-24T13:07:05.993746+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,1,1,0.7125,"psnr=0.469, ssim=0.812, conformal=0.937",True,0.064735,2492,2091,19.483,,
2026-04-24T13:07:25.490551+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,1,2,0.7141,"psnr=0.474, ssim=0.813, conformal=0.935",True,0.088405,7226,2091,24.897,,
2026-04-24T13:07:50.400757+00:00,lodopab-ct-simplified-multiturn,anthropic/claude-opus-4.7,1,3,0.7147,"psnr=0.478, ssim=0.812, conformal=0.934",True,0.11204,11953,2091,27.815,,
