split,seed,prompt_name,reward,n_turns,parse_ok,usd_cost
baseline,60000,default-systemprompt,0.35412346864630473,3,True,0.005208
baseline,60001,default-systemprompt,0.34788718973796423,3,True,0.005208000000000002
baseline,60002,default-systemprompt,0.3223276774859799,3,True,0.005208000000000001
val:terse-baseline,60500,terse-baseline,0.3481593003678039,3,True,0.0048839999999999995
val:terse-baseline,60501,terse-baseline,0.3491657752091743,3,True,0.0050100000000000006
val:verbose-with-strategy,60500,verbose-with-strategy,0.3482696329966742,3,True,0.005181000000000002
val:verbose-with-strategy,60501,verbose-with-strategy,0.3964933084023289,3,True,0.012081999999999996
val:step-numbered,60500,step-numbered,0.36836073588095375,3,True,0.005016
val:step-numbered,60501,step-numbered,0.39665645780929404,3,True,0.005016
val:rewritten-directive,60500,rewritten-directive,0.35054484893077104,3,True,0.005195999999999999
val:rewritten-directive,60501,rewritten-directive,0.35269753211242116,3,True,0.005195999999999999
heldout-default,60100,default-systemprompt,0.3190510301648747,3,True,0.005208000000000004
heldout-default,60101,default-systemprompt,0.3221700436009899,3,True,0.005208000000000004
heldout-default,60102,default-systemprompt,0.3512674390338997,3,True,0.005208000000000004
heldout-best,60100,step-numbered,0.31867218215772697,3,True,0.0050160000000000066
heldout-best,60101,step-numbered,0.3220252923033986,3,True,0.0050160000000000066
heldout-best,60102,step-numbered,0.3512674390338997,1,True,0.0030730000000000063
