split,seed,damping,shrink_threshold,reward,nmse,support,conformal
baseline,70000,1.0,0.0,0.932062541315225,0.9801563532880625,0.8000000000000002,1.0
baseline,70001,1.0,0.0,0.9374945643549941,0.9937364108874851,0.9,0.9
baseline,70002,1.0,0.0,0.8642779620368453,0.9606949050921131,0.7,0.9
baseline,70003,1.0,0.0,0.9335629595010535,0.9839073987526337,0.9,0.9
baseline,70004,1.0,0.0,0.9262682271719753,0.9656705679299381,0.8000000000000002,1.0
baseline,70005,1.0,0.0,0.8987507518476459,0.9718768796191144,0.8000000000000002,0.9
baseline,70006,1.0,0.0,0.9334350515525505,0.9835876288813759,0.9,0.9
baseline,70007,1.0,0.0,0.9370265765842087,0.9925664414605216,0.9,0.9
baseline,70008,1.0,0.0,0.9055569045856837,0.9888922614642089,0.8000000000000002,0.9
baseline,70009,1.0,0.0,0.9669336725566464,0.992334181391616,1.0,0.9
baseline,70010,1.0,0.0,0.8360272711118374,0.9650681777795934,0.6,0.9
baseline,70011,1.0,0.0,0.9024996458787873,0.9812491146969681,0.7,1.0
baseline,70012,1.0,0.0,0.9065820391591894,0.9914550978979736,0.8000000000000002,0.9
baseline,70013,1.0,0.0,0.8962192829111684,0.9655482072779208,0.8000000000000002,0.9
baseline,70014,1.0,0.0,0.9206400525871961,0.9516001314679899,0.8000000000000002,1.0
baseline,70015,1.0,0.0,0.9340443163166096,0.9851107907915237,0.9,0.9
baseline,70016,1.0,0.0,0.9211149484144904,0.9527873710362258,0.9,0.9
baseline,70017,1.0,0.0,0.8440915771005096,0.910228942751274,0.7,0.9
baseline,70018,1.0,0.0,0.934310389877834,0.9857759746945848,0.8000000000000002,1.0
baseline,70019,1.0,0.0,0.901989590016782,0.9799739750419547,0.8000000000000002,0.9
baseline,70020,1.0,0.0,0.8563460375251464,0.9408650938128659,0.7,0.9
baseline,70021,1.0,0.0,0.9284845727670203,0.9712114319175505,0.9,0.9
baseline,70022,1.0,0.0,0.9018332802759998,0.9795832006899996,0.8000000000000002,0.9
